,gts,preds
520,8,8
521,8,6
522,1,8
523,13,13
524,8,6
525,13,13
526,13,15
527,8,8
528,1,1
529,8,8
530,8,8
531,14,14
532,13,13
533,1,15
534,8,8
535,8,8
536,9,6
537,8,8
538,3,3
539,13,15
540,8,8
541,14,14
542,15,9
543,8,8
544,11,11
545,4,8
546,14,14
547,13,13
548,8,14
549,1,9
550,8,8
551,8,8
552,8,8
553,13,13
554,14,14
555,8,11
556,13,13
557,8,8
558,13,15
559,14,14
560,14,8
561,1,12
562,8,1
563,1,9
564,13,13
565,9,9
566,14,14
567,4,14
568,8,8
569,13,15
570,8,8
571,13,15
572,4,4
573,11,11
574,14,8
575,1,14
576,8,9
577,14,14
578,15,15
579,8,8
580,1,9
581,8,8
582,8,14
583,13,9
584,13,8
585,8,8
586,1,8
587,8,4
588,6,6
589,13,13
590,13,15
591,13,15
592,8,14
593,13,13
594,3,3
595,8,9
596,8,8
597,2,12
598,8,8
599,13,13
600,1,9
601,8,14
602,13,13
603,13,13
604,14,14
605,13,15
606,8,15
607,8,11
608,13,11
609,15,15
610,8,3
611,1,3
612,8,14
613,8,14
614,8,15
615,8,8
616,13,13
617,13,15
618,13,15
619,15,4
620,8,1
621,8,11
622,1,12
623,13,15
624,8,8
625,1,8
626,8,14
627,13,15
628,8,4
629,13,15
630,4,4
631,8,8
632,13,13
633,8,15
634,14,14
635,4,4
636,1,6
637,11,11
638,8,12
639,6,6
640,8,15
641,6,6
642,8,14
643,8,9
644,8,8
645,8,14
646,8,8
647,1,1
648,13,13
649,13,8
650,8,15
651,8,4
652,13,8
653,3,3
654,14,14
655,8,8
656,13,13
657,14,15
658,1,8
659,13,15
660,8,8
661,13,15
662,13,15
663,3,3
664,14,14
665,13,8
666,8,13
667,8,8
668,8,9
669,8,4
670,8,15
671,15,4
672,15,1
673,11,11
674,13,8
675,4,8
676,8,14
677,8,9
678,1,12
679,8,4
680,14,14
681,14,14
682,2,3
683,8,15
684,8,15
685,8,12
686,8,8
687,13,13
688,4,15
689,8,8
690,8,8
691,13,8
692,8,8
693,14,6
694,9,3
695,8,8
696,1,8
697,8,8
698,13,13
699,8,8
700,14,14
701,8,8
702,13,15
703,13,15
704,8,1
705,8,15
706,8,15
707,13,13
708,13,15
709,8,4
710,14,14
711,8,4
712,9,9
713,8,8
714,2,2
715,13,13
716,1,12
717,13,13
718,1,9
719,8,12
720,13,15
721,14,14
722,14,14
723,1,9
724,13,15
725,8,4
726,2,3
727,1,8
728,13,8
729,8,15
730,3,15
731,13,13
732,1,15
733,1,1
734,1,9
735,1,9
736,1,9
737,13,15
738,13,15
739,8,14
740,13,13
741,14,14
742,8,3
743,1,9
744,8,14
745,1,9
746,13,15
747,8,14
748,1,9
749,8,15
750,13,15
751,13,3
752,8,8
753,13,15
754,1,1
755,8,6
756,13,15
757,13,13
758,13,15
759,15,15
760,14,8
761,13,15
762,11,11
763,8,15
764,1,9
765,1,1
766,8,14
767,8,1
768,8,8
769,1,9
770,8,14
771,8,15
772,1,15
773,13,15
774,8,8
775,3,1
776,1,9
777,1,12
778,1,8
779,8,14
780,13,13
781,1,9
782,1,8
783,8,8
784,14,6
785,13,15
786,4,4
787,8,15
788,13,4
789,14,14
790,4,4
791,8,8
792,8,12
793,8,8
794,15,9
795,8,8
796,3,3
797,8,14
798,13,13
799,8,8
800,13,13
801,13,13
802,13,13
803,1,12
804,13,15
805,8,4
806,15,4
807,11,11
808,3,3
809,1,9
810,8,8
811,13,4
812,1,12
813,13,2
814,1,8
815,4,15
816,13,13
817,4,15
818,13,9
819,1,9
820,8,15
821,11,11
822,0,15
823,8,4
824,13,8
825,13,13
826,9,9
827,2,2
828,8,8
829,8,9
830,8,12
831,1,12
832,13,15
833,13,4
834,13,13
835,8,8
836,13,13
837,8,4
838,1,10
839,8,8
840,4,15
841,13,14
842,13,13
843,8,8
844,8,8
845,8,11
846,8,15
847,15,12
848,13,15
849,13,8
850,1,15
851,9,9
852,8,4
853,8,14
854,8,8
855,8,4
856,4,15
857,13,13
858,1,8
859,11,11
860,13,15
861,1,8
862,15,9
863,15,3
864,13,15
865,8,4
866,13,15
867,8,14
868,14,14
869,8,15
870,13,13
871,8,9
872,8,14
873,13,8
874,13,8
875,8,14
876,8,8
877,13,15
878,8,8
879,8,9
880,13,15
881,13,13
882,11,11
883,8,8
884,8,8
885,13,15
886,13,13
887,13,15
888,1,9
889,8,8
890,1,9
891,9,9
892,8,8
893,14,6
894,13,15
895,13,13
896,8,14
897,8,12
898,11,11
899,1,3
900,13,13
901,8,14
902,8,8
903,13,15
904,15,15
905,13,15
906,9,9
907,8,4
908,8,14
909,8,8
910,8,4
911,8,14
912,8,1
913,8,15
914,8,4
915,8,8
916,4,13
917,8,8
918,1,8
919,8,11
920,8,14
921,13,15
922,13,9
923,11,11
924,8,15
925,13,15
926,8,8
927,8,11
928,13,13
929,8,8
930,8,11
931,8,8
932,1,15
933,8,15
934,8,4
935,13,13
936,11,11
937,1,9
938,8,14
939,13,13
940,14,4
941,8,8
942,8,14
943,14,15
944,8,8
945,14,14
946,13,13
947,13,8
948,13,15
949,9,9
950,1,15
951,8,8
952,13,15
953,13,8
954,8,4
955,8,8
956,8,14
957,11,11
958,13,13
959,13,15
960,8,14
961,8,14
962,13,15
963,13,15
964,15,15
965,8,14
966,8,8
967,13,15
968,8,15
969,9,4
970,8,15
971,1,1
972,8,8
973,8,15
974,13,13
975,8,14
976,8,14
977,13,13
978,13,13
979,8,14
980,4,4
981,13,15
982,13,13
983,8,14
984,13,8
985,8,8
986,8,8
987,14,8
988,8,12
989,8,8
990,13,13
991,13,15
992,8,6
993,13,13
994,13,13
995,8,8
996,13,15
997,8,14
998,8,8
999,13,13
1000,8,8
1001,13,15
1002,8,4
1003,13,13
1004,11,11
1005,11,11
1006,8,6
1007,11,11
1008,8,14
1009,13,15
1010,15,4
1011,8,12
1012,13,13
1013,13,15
1014,13,13
1015,14,14
1016,8,15
1017,13,15
1018,13,15
1019,13,15
1020,13,13
1021,13,13
1022,13,15
1023,11,11
1024,15,15
1025,8,8
1026,8,8
1027,8,11
1028,14,14
1029,8,8
1030,8,8
1031,8,15
1032,13,15
1033,13,13
1034,13,15
1035,13,15
1036,13,13
1037,13,15
1038,8,8
1039,8,8
1040,1,9
1041,4,4
1042,13,4
1043,15,15
1044,8,4
1045,13,15
1046,13,11
1047,13,15
1048,13,3
1049,13,13
1050,13,15
1051,13,15
1052,13,15
1053,13,6
1054,13,13
1055,13,13
1056,13,15
1057,13,15
1058,13,13
1059,13,8
1060,13,13
1061,8,8
1062,13,15
1063,13,13
1064,13,13
1065,8,4
1066,8,8
1067,8,8
1068,8,4
1069,13,13
1070,8,8
1071,14,4
1072,13,13
1073,13,15
1074,13,13
1075,13,13
1076,13,15
1077,13,15
1078,8,8
1079,8,8
1080,13,15
1081,8,4
1082,14,6
1083,8,8
1084,13,13
1085,13,13
1086,13,13
1087,13,13
1088,1,8
1089,13,15
1090,13,13
1091,13,13
1092,13,15
1093,8,8
1094,15,15
1095,13,4
1096,4,15
1097,13,15
1098,1,9
1099,13,15
1100,8,14
1101,8,1
1102,8,12
1103,13,15
1104,13,13
1105,8,8
1106,13,13
1107,13,15
1108,13,13
1109,13,13
1110,11,8
1111,13,15
1112,8,8
1113,8,8
1114,13,15
1115,13,15
1116,13,15
1117,13,13
1118,13,13
1119,13,4
1120,13,15
1121,1,9
1122,13,15
1123,1,9
1124,13,13
1125,13,13
1126,13,15
1127,13,15
1128,13,13
1129,3,9
1130,13,15
1131,8,8
1132,13,15
1133,4,8
1134,8,15
1135,13,13
1136,14,10
1137,13,15
1138,13,13
1139,13,13
1140,13,15
1141,13,13
1142,1,9
1143,13,12
1144,13,15
1145,13,13
1146,14,14
1147,13,15
1148,13,13
1149,8,8
1150,8,8
1151,13,13
1152,15,15
1153,8,8
1154,13,15
1155,1,15
1156,8,8
1157,13,15
1158,13,15
1159,13,13
1160,13,13
1161,13,13
1162,13,15
1163,13,15
1164,13,9
1165,13,15
1166,13,4
1167,1,9
1168,15,4
1169,13,13
1170,13,15
1171,13,13
1172,13,4
1173,15,15
1174,13,13
1175,13,13
1176,1,8
1177,13,13
1178,13,13
1179,8,8
1180,3,3
1181,11,11
1182,13,15
1183,13,12
1184,1,4
1185,13,8
1186,8,11
1187,13,15
1188,13,13
1189,13,13
1190,8,4
1191,13,13
1192,11,11
1193,13,13
1194,13,8
1195,13,13
1196,3,3
1197,13,15
1198,8,4
1199,13,13
1200,8,4
1201,1,8
1202,13,15
1203,13,15
1204,13,13
1205,13,15
1206,13,15
1207,13,13
1208,4,0
1209,1,1
1210,1,1
1211,13,15
1212,13,13
1213,13,13
1214,8,1
1215,13,13
1216,1,8
1217,13,13
1218,13,15
1219,8,15
1220,13,13
1221,13,13
1222,13,15
1223,8,4
1224,13,15
1225,13,15
1226,13,13
1227,13,13
1228,13,13
1229,13,13
1230,13,13
1231,8,8
1232,13,13
1233,13,13
1234,13,13
1235,8,8
1236,13,13
1237,13,9
1238,13,15
1239,13,15
1240,13,13
1241,8,8
1242,13,8
1243,1,1
1244,8,14
1245,13,15
1246,4,15
1247,13,15
1248,15,15
1249,8,15
1250,11,11
1251,8,11
1252,8,8
1253,13,15
1254,13,13
1255,13,13
1256,13,15
1257,13,13
1258,15,4
1259,13,13
1260,13,13
1261,13,13
1262,1,3
1263,13,13
1264,13,13
1265,13,15
1266,13,15
1267,15,15
1268,13,13
1269,13,15
1270,8,8
1271,13,15
1272,13,13
1273,14,8
1274,13,15
1275,13,13
1276,13,15
1277,13,13
1278,13,13
1279,13,15
1280,8,8
1281,13,13
1282,13,15
1283,13,13
1284,15,4
1285,13,13
1286,13,15
1287,13,15
1288,13,13
1289,8,14
1290,13,4
1291,8,8
1292,4,4
1293,8,8
1294,13,13
1295,13,13
1296,13,15
1297,13,13
1298,13,12
1299,4,4
1300,8,12
1301,13,13
1302,11,11
1303,4,1
1304,13,13
1305,13,8
1306,13,13
1307,13,13
1308,13,15
1309,13,13
1310,13,13
1311,13,15
1312,8,11
1313,13,13
1314,13,13
1315,13,15
1316,13,13
1317,9,15
1318,1,1
1319,13,13
1320,14,12
1321,13,15
1322,4,8
1323,13,13
1324,13,15
1325,14,14
1326,13,13
1327,8,8
1328,13,13
1329,13,15
1330,15,15
1331,8,8
1332,13,13
1333,13,9
1334,13,11
1335,13,3
1336,13,13
1337,13,15
1338,13,4
1339,13,13
1340,13,13
1341,13,13
1342,13,11
1343,8,12
1344,13,15
1345,13,12
1346,8,1
1347,13,13
1348,13,13
1349,13,15
1350,13,15
1351,15,15
1352,13,15
1353,13,13
1354,13,9
1355,13,13
1356,13,13
1357,9,9
1358,1,0
1359,13,15
1360,4,4
1361,13,15
1362,13,15
1363,13,15
1364,13,13
1365,13,13
1366,4,4
1367,14,14
1368,13,15
1369,13,13
1370,13,13
1371,13,15
1372,13,13
1373,13,13
1374,13,15
1375,9,9
1376,8,14
1377,13,13
1378,13,13
1379,13,15
1380,13,15
1381,13,15
1382,13,15
1383,13,13
1384,13,13
1385,13,13
1386,13,13
1387,8,15
1388,8,1
1389,13,13
1390,1,9
1391,8,15
1392,13,15
1393,13,13
1394,13,8
1395,13,13
1396,13,15
1397,13,13
1398,13,15
1399,13,15
1400,13,15
1401,4,4
1402,13,13
1403,13,15
1404,13,13
1405,13,15
1406,13,15
1407,13,15
1408,13,15
1409,15,15
1410,13,13
1411,13,15
1412,1,9
1413,2,2
1414,13,13
1415,13,15
1416,13,15
1417,13,13
1418,13,13
1419,13,15
1420,13,15
1421,8,8
1422,8,4
1423,13,13
1424,1,9
1425,13,13
1426,13,15
1427,13,15
1428,8,8
1429,13,13
1430,13,15
1431,13,15
1432,13,13
1433,15,15
1434,8,9
1435,13,15
1436,13,13
1437,13,13
1438,4,15
1439,13,15
1440,13,13
1441,8,9
1442,13,13
1443,13,15
1444,3,15
1445,13,13
1446,13,13
1447,13,15
1448,13,15
1449,13,15
1450,15,13
1451,13,8
1452,13,4
1453,13,13
1454,13,13
1455,11,11
1456,13,13
1457,13,13
1458,13,15
1459,13,8
1460,13,2
1461,13,13
1462,13,13
1463,13,15
1464,4,4
1465,4,15
1466,13,13
1467,13,15
1468,13,15
1469,13,15
1470,8,9
1471,4,8
1472,13,13
1473,13,15
1474,14,12
1475,8,14
1476,8,14
1477,13,13
1478,13,12
1479,13,13
1480,13,15
1481,13,15
1482,13,15
1483,15,15
1484,13,13
1485,8,12
1486,13,15
1487,13,13
1488,13,13
1489,15,15
1490,10,11
1491,8,15
1492,13,13
1493,13,13
1494,13,15
1495,13,8
1496,13,13
1497,13,13
1498,13,13
1499,13,13
1500,14,8
1501,13,15
1502,13,15
1503,13,15
1504,13,8
1505,14,14
1506,13,13
1507,13,15
1508,8,8
1509,13,15
1510,13,15
1511,11,11
1512,15,4
1513,13,13
1514,13,13
1515,1,9
1516,8,15
1517,8,4
1518,8,8
1519,13,13
1520,13,15
1521,8,15
1522,13,13
1523,13,14
1524,13,13
1525,14,8
1526,13,9
1527,13,9
1528,8,14
1529,8,15
1530,13,13
1531,13,15
1532,13,13
1533,13,13
1534,8,15
1535,15,15
1536,13,13
1537,13,13
1538,13,15
1539,13,13
1540,13,13
1541,13,13
1542,13,15
1543,14,14
1544,14,14
1545,13,15
1546,9,6
1547,13,15
1548,13,13
1549,13,15
1550,8,8
1551,13,13
1552,13,13
1553,13,8
1554,13,15
1555,4,15
1556,13,13
1557,13,15
1558,13,15
1559,4,4
1560,8,8
1561,13,13
1562,13,13
1563,13,13
1564,13,13
1565,8,14
1566,13,15
1567,13,15
1568,13,13
1569,13,9
1570,8,14
1571,13,13
1572,13,15
1573,8,12
1574,13,15
1575,13,13
1576,13,15
1577,13,15
1578,8,8
1579,13,15
1580,8,15
1581,9,6
1582,13,4
1583,13,15
1584,13,15
1585,8,11
1586,13,15
1587,8,8
1588,13,13
1589,8,14
1590,1,0
1591,15,15
1592,13,13
1593,13,13
1594,4,8
1595,13,13
1596,11,11
1597,13,13
1598,13,15
1599,13,15
1600,1,9
1601,13,4
1602,13,9
1603,13,13
1604,13,8
1605,13,15
1606,13,15
1607,8,8
1608,11,11
1609,3,3
1610,8,4
1611,8,8
1612,8,15
1613,4,6
1614,13,15
1615,13,15
1616,13,15
1617,13,15
1618,8,8
1619,8,12
1620,13,13
1621,9,12
1622,13,15
1623,8,14
1624,13,13
1625,8,15
1626,13,13
1627,3,3
1628,13,13
1629,13,13
1630,15,15
1631,8,8
1632,8,4
1633,13,13
1634,13,15
1635,13,13
1636,13,4
1637,13,8
1638,13,15
1639,13,13
1640,13,15
1641,13,15
1642,8,8
1643,13,13
1644,13,15
1645,1,0
1646,13,15
1647,15,15
1648,6,6
1649,13,15
1650,13,3
1651,13,13
1652,13,15
1653,13,13
1654,13,15
1655,13,11
1656,13,15
1657,13,15
1658,9,12
1659,14,14
1660,13,15
1661,11,11
1662,15,4
1663,11,11
1664,1,15
1665,13,13
1666,13,8
1667,15,15
1668,14,14
1669,13,13
1670,13,13
1671,13,13
1672,8,12
1673,8,8
1674,8,14
1675,14,14
1676,8,4
1677,13,15
1678,13,15
1679,3,15
1680,11,11
1681,13,4
1682,13,15
1683,13,13
1684,15,15
1685,13,15
1686,13,13
1687,13,15
1688,13,15
1689,13,15
1690,13,15
1691,3,14
1692,13,15
1693,13,13
1694,1,12
1695,13,15
1696,8,15
1697,13,13
1698,13,15
1699,13,12
1700,13,8
1701,13,13
1702,1,9
1703,13,4
1704,13,13
1705,14,14
1706,13,15
1707,13,13
1708,13,15
1709,13,15
1710,13,15
1711,13,13
1712,13,15
1713,13,15
1714,13,13
1715,13,13
1716,8,8
1717,13,13
1718,9,9
1719,8,8
1720,1,9
1721,8,15
1722,8,14
1723,8,15
1724,8,11
1725,13,13
1726,11,11
1727,8,15
1728,3,3
1729,13,15
1730,8,14
1731,13,15
1732,11,11
1733,8,14
1734,13,13
1735,13,13
1736,8,1
1737,13,13
1738,13,13
1739,6,6
1740,13,13
1741,8,8
1742,8,12
1743,13,3
1744,8,4
1745,13,15
1746,8,8
1747,13,15
1748,13,13
1749,8,8
1750,13,13
1751,13,13
1752,13,15
1753,13,2
1754,13,13
1755,10,1
1756,3,3
1757,13,15
1758,13,15
1759,15,14
1760,13,4
1761,13,13
1762,13,13
1763,11,11
1764,13,11
1765,13,15
1766,13,15
1767,15,15
1768,13,13
1769,8,15
1770,13,15
1771,15,15
1772,13,15
1773,14,14
1774,13,13
1775,13,15
1776,13,13
1777,14,14
1778,13,13
1779,13,13
1780,13,15
1781,13,15
1782,8,8
1783,8,11
1784,8,8
1785,13,15
1786,15,4
1787,10,1
1788,9,12
1789,8,14
1790,8,14
1791,13,13
1792,8,15
1793,8,15
1794,13,15
1795,13,13
1796,13,8
1797,13,15
1798,9,9
1799,13,15
1800,15,15
1801,8,4
1802,13,13
1803,4,8
1804,8,15
1805,13,13
1806,13,15
1807,8,14
1808,1,9
1809,11,11
1810,15,15
1811,8,8
1812,13,15
1813,8,14
1814,13,15
1815,13,13
1816,1,6
1817,8,8
1818,13,15
1819,13,15
1820,14,6
1821,1,8
1822,11,11
1823,13,13
1824,8,11
1825,8,4
1826,11,11
1827,15,15
1828,13,4
1829,15,15
1830,13,15
1831,8,11
1832,8,14
1833,13,13
1834,13,15
1835,8,8
1836,14,14
1837,3,3
1838,8,14
1839,1,8
1840,14,4
1841,13,13
1842,13,13
1843,1,14
1844,13,15
1845,8,15
1846,1,8
1847,13,13
1848,13,15
1849,2,8
1850,13,15
1851,13,13
1852,8,8
1853,3,11
1854,13,15
1855,13,13
1856,13,15
1857,14,14
1858,13,13
1859,15,8
1860,13,15
1861,13,13
1862,8,11
1863,1,9
1864,8,14
1865,14,14
1866,13,15
1867,8,15
1868,8,15
1869,8,4
1870,4,8
1871,13,13
1872,13,15
1873,14,6
1874,13,13
1875,13,15
1876,13,15
1877,13,13
1878,13,15
1879,8,12
1880,8,8
1881,13,13
1882,13,8
1883,13,13
1884,8,14
1885,13,13
1886,13,13
1887,8,8
1888,13,15
1889,14,14
1890,8,9
1891,8,8
1892,8,14
1893,13,15
1894,13,13
1895,13,13
1896,3,15
1897,15,15
1898,14,8
1899,15,15
1900,8,15
1901,13,13
1902,14,14
1903,8,15
1904,8,4
1905,8,15
1906,14,14
1907,13,13
1908,13,15
1909,13,13
1910,8,1
1911,8,4
1912,8,11
1913,13,13
1914,13,13
1915,13,13
1916,13,15
1917,13,15
1918,8,11
1919,13,15
1920,8,15
1921,14,14
1922,15,14
1923,14,14
1924,13,14
1925,13,15
1926,8,3
1927,15,15
1928,15,15
1929,13,13
1930,14,14
1931,13,13
1932,1,8
1933,14,14
1934,13,13
1935,13,15
1936,13,13
1937,14,14
1938,8,8
1939,13,13
1940,13,13
1941,14,14
1942,13,13
1943,13,13
1944,13,8
1945,13,15
1946,8,8
1947,13,15
1948,13,15
1949,13,13
1950,8,6
1951,8,6
1952,8,8
1953,8,14
1954,13,13
1955,11,11
1956,13,15
1957,15,4
1958,13,3
1959,13,13
1960,13,15
1961,13,13
1962,13,15
1963,13,15
1964,14,14
1965,13,13
1966,8,14
1967,15,15
1968,8,14
1969,15,14
1970,13,13
1971,13,13
1972,11,11
1973,13,15
1974,13,13
1975,15,15
1976,14,14
1977,15,4
1978,13,15
1979,13,15
1980,8,8
1981,13,13
1982,3,3
1983,13,13
1984,13,15
1985,8,12
1986,15,4
1987,13,13
1988,14,14
1989,13,13
1990,13,15
1991,13,15
1992,13,13
1993,13,15
1994,13,15
1995,14,14
1996,13,4
1997,8,4
1998,8,14
1999,13,13
2000,13,15
2001,13,15
2002,13,15
2003,13,13
2004,13,15
2005,13,3
2006,8,15
2007,14,14
2008,13,15
2009,11,11
2010,13,15
2011,13,15
2012,13,15
2013,13,15
2014,13,15
2015,13,13
2016,8,14
2017,13,15
2018,13,13
2019,13,15
2020,13,15
2021,9,3
2022,13,15
2023,8,15
2024,13,15
2025,11,11
2026,11,11
2027,11,11
2028,8,9
2029,13,13
2030,13,12
2031,8,4
2032,13,15
2033,13,13
2034,13,15
2035,14,14
2036,13,15
2037,13,13
2038,13,15
2039,13,13
2040,13,15
2041,11,11
2042,13,13
2043,13,15
2044,13,15
2045,11,11
2046,13,13
2047,8,14
2048,13,13
2049,13,13
2050,14,14
2051,13,15
2052,13,15
2053,13,15
2054,13,13
2055,13,15
2056,13,13
2057,8,14
2058,13,4
2059,8,14
2060,3,3
2061,15,15
2062,13,15
2063,13,8
2064,8,14
2065,13,15
2066,13,15
2067,13,13
2068,1,14
2069,13,15
2070,14,14
2071,11,11
2072,8,14
2073,13,15
2074,8,4
2075,13,15
2076,13,4
2077,11,11
2078,13,15
2079,8,15
2080,10,15
2081,8,14
2082,9,9
2083,13,15
2084,15,15
2085,13,13
2086,13,13
2087,13,15
2088,8,4
2089,15,4
2090,11,11
2091,13,15
2092,13,15
2093,8,4
2094,13,13
2095,13,13
2096,13,13
2097,8,4
2098,13,15
2099,13,15
2100,13,13
2101,13,15
2102,13,9
2103,13,13
2104,13,15
2105,13,15
2106,13,13
2107,13,14
2108,13,15
2109,8,8
2110,8,15
2111,13,13
2112,8,14
2113,13,13
2114,13,15
2115,15,15
2116,8,15
2117,13,13
2118,13,15
2119,13,15
2120,13,11
2121,8,8
2122,12,12
2123,13,13
2124,13,15
2125,8,8
2126,8,11
2127,13,13
2128,13,15
2129,13,15
2130,8,15
2131,11,11
2132,13,13
2133,8,8
2134,8,8
2135,13,13
2136,13,15
2137,8,8
2138,13,15
2139,4,8
